iter	Passed	Remaining
417	2680	3732
418	2687	3726
419	2693	3719
420	2699	3712
421	2705	3706
422	2713	3700
423	2719	3694
424	2725	3687
425	2732	3681
426	2738	3674
427	2744	3668
428	2751	3661
429	2757	3655
430	2763	3648
431	2769	3641
432	2776	3635
433	2782	3628
434	2788	3622
435	2795	3615
436	2801	3609
437	2807	3602
438	2813	3595
439	2820	3589
440	2826	3582
441	2832	3576
442	2838	3569
443	2845	3562
444	2851	3556
445	2857	3549
446	2864	3543
447	2870	3536
448	2876	3529
449	2882	3522
450	2888	3515
451	2894	3509
452	2900	3502
453	2907	3496
454	2913	3489
455	2919	3482
456	2925	3476
457	2931	3469
458	2937	3462
459	2944	3456
460	2950	3450
461	2956	3443
462	2963	3436
463	2969	3430
464	2976	3424
465	2982	3417
466	2988	3410
467	2994	3404
468	3001	3397
469	3007	3391
470	3013	3384
471	3019	3378
472	3026	3371
473	3032	3365
474	3039	3359
475	3045	3352
476	3052	3346
477	3058	3340
478	3064	3333
479	3071	3327
480	3077	3320
481	3083	3314
482	3090	3307
483	3096	3301
484	3102	3294
485	3109	3288
486	3115	3281
487	3121	3274
488	3127	3268
489	3134	3262
490	3140	3255
491	3146	3249
492	3152	3242
493	3159	3236
494	3165	3229
495	3172	3223
496	3178	3216
497	3184	3209
498	3190	3203
499	3196	3196
500	3202	3190
501	3209	3183
502	3217	3178
503	3223	3172
504	3230	3166
505	3237	3160
506	3243	3154
507	3250	3147
508	3256	3141
509	3263	3135
510	3270	3129
511	3276	3122
512	3282	3116
513	3288	3109
514	3295	3103
515	3301	3096
516	3309	3091
517	3315	3085
518	3321	3078
519	3327	3071
520	3333	3065
521	3340	3058
522	3346	3052
523	3352	3045
524	3360	3040
525	3366	3033
526	3372	3026
527	3378	3019
528	3384	3013
529	3390	3006
530	3396	3000
531	3403	2994
532	3409	2987
533	3416	2981
534	3422	2974
535	3428	2968
536	3434	2961
537	3441	2955
538	3448	2949
539	3454	2942
540	3461	2936
541	3467	2930
542	3473	2923
543	3480	2917
544	3486	2910
545	3492	2904
546	3498	2897
547	3505	2891
548	3511	2884
549	3518	2878
550	3524	2871
551	3530	2865
552	3536	2858
553	3542	2852
554	3548	2845
555	3555	2839
556	3561	2832
557	3567	2826
558	3573	2819
559	3580	2812
560	3586	2806
561	3592	2799
562	3598	2793
563	3605	2786
564	3611	2780
565	3618	2774
566	3624	2767
567	3630	2761
568	3636	2754
569	3642	2747
570	3648	2740
571	3654	2734
572	3660	2727
573	3666	2721
574	3672	2714
575	3680	2709
576	3686	2702
577	3693	2696
578	3699	2690
579	3705	2683
580	3712	2677
581	3718	2670
582	3724	2663
583	3730	2657
584	3737	2651
585	3743	2644
586	3750	2638
587	3756	2632
588	3762	2625
589	3768	2619
590	3774	2612
591	3782	2606
592	3788	2600
593	3795	2594
594	3802	2588
595	3808	2581
596	3815	2575
597	3821	2568
598	3827	2562
599	3833	2555
600	3840	2549
601	3846	2543
602	3852	2536
603	3858	2530
604	3865	2523
605	3871	2517
606	3877	2510
607	3883	2503
608	3889	2497
609	3896	2491
610	3902	2484
611	3908	2478
612	3914	2471
613	3920	2464
614	3927	2458
615	3933	2452
616	3940	2445
617	3946	2439
618	3953	2433
619	3959	2426
620	3965	2420
621	3972	2414
622	3978	2407
623	3985	2401
624	3991	2394
625	3997	2388
626	4003	2381
627	4009	2375
628	4016	2368
629	4022	2362
630	4028	2356
631	4035	2349
632	4041	2342
633	4047	2336
634	4054	2330
635	4061	2324
636	4067	2317
637	4074	2311
638	4082	2306
639	4088	2299
640	4094	2293
641	4101	2286
642	4107	2280
643	4113	2273
644	4119	2267
645	4126	2261
646	4132	2254
647	4138	2248
